地域,センター,燃やすゴミ,燃やさないゴミ,資源,容器包装プラスチック類
アインズコート柏管理組合, ,火 金,火2 火4,金1 金3,水
青葉台ベルドゥムールマンション自治会, ,月 木,木1 木3,金2 金4,水
あかね町町会, ,火 金,金1 金3,木2 金4,水
明原町会, ,火 金,金1 金3,月1 月3,水
あけぼの町会, ,火 金,金1 金3,火1 火3,水
旭町町会, ,火 金,木2 金4,金1 金3,水
旭町7・8丁目町会, ,火 金,木2 金4,月1 月3,水
あざみ町会, ,火 金,金2 金4,月2 月4,水
東町会, ,火 金,火2 火4,木2 金4,水
東1丁目町会, ,火 金,火2 火4,木2 金4,水
東1丁目第2町会, ,火 金,火2 火4,木2 金4,水
東2丁目町会, ,火 金,金1 金3,火2 火4,水
東3丁目町会, ,火 金,金1 金3,火2 火4,水
東台町会, ,火 金,火2 火4,木2 金4,水
荒屋敷町会, ,月 木,月2 月4,木1 木3,水
泉町町会, ,火 金,火2 火4,火2 火4,水
伊勢原町会, ,月 木,月1 月3,水1 水3,水
今泉台町会, ,火 金,木2 金4,火1 火3,水
今谷上町町会, ,月 木,木1 木3,火2 火4,水
今谷南町会, ,月 木,木1 木3,火2 火4,水
ウインザーハイム北柏ガーデン自治会, ,月 木,月2 月4,木1 木3,水
ウェルフェアグリーン柏自治会, ,月 木,月2 月4,木1 木3,水
梅林町会, ,火 金,月1 月3,火1 火3,水
永楽台町会, ,火 金,金2 金4,月2 月4,水
エステート荒工山自治会, ,火 金,火2 火4,木2 金4,水
工ステコート北柏自治会, ,火 金,月2 月4,火1 火3,水
大青田町会, ,月 木,月1 月3,水1 水3,水
大青田58町会, ,月 木,月1 月3,水1 水3,水
大塚町会, ,火 金,金1 金3,木2 金4,水
大室町会, ,月 木,月1 月3,水1 水3,水
オーベル柏自治会, ,火 金,月1 月3,火1 火3,水
加賀町会, ,火 金,金2 金4,月2 月4,水
カーサデコルサ新柏自治会, ,火 金,金2 金4,月2 月4,水
柏グリーンハイツ自治会, ,火 金,火2 火4,金1 金3,水
柏サンハイツ自治会, ,月 木,火1 火3,金2 金4,水
柏住宅自治会（みどり台）, ,月 木,月1 月3,水1 水3,水
柏中央住宅柏会, ,火 金,金1 金3,火2 火4,水
