type,name,notice,furigana,
資源,アイアン（ゴルフクラブ）,,あ,
資源,アイスピック,危なくないよう刃先を紙でくるむ,あ,
資源,空き箱,たたんでひもで束ねる,あ,
資源,空き箱,たたんでひもで束ねる,あ,
資源,足踏み健康器具,ペダル部分以外がほぼ金属製のもの,あ,
資源,アタッシュケース,本体周りがアルミ等の金属製のもの,あ,
資源,厚紙,,あ,
資源,圧力釜,,あ,
資源,圧力鍋,,あ,
資源,油こし容器,,あ,
資源,油（食用油）の容器,,あ,
資源,油撥ね防止ガード,ガスレンジの周りを覆うもので汚れていても可,あ,
資源,雨戸（1?2枚）,自己施工のもの,あ,
資源,網,,あ,
資源,編み機,,あ,
資源,網戸,網つきでも網なしでもよい,あ,
資源,網戸（網部分のみ）,,あ,
資源,編み針・編み棒,,あ,
資源,アルミガード,ガスレンジの周りを覆うもので汚れていても可,あ,
資源,アルミサッシ,自己施工のみ,あ,
資源,アルミ製品,,あ,
資源,アルミホイール（車部品）,,あ,
資源,アルミホイル,汚れたものは「可燃ごみ」,あ,
資源,泡立て器,,あ,
資源,安全剃刀,紙に包んで中身を明記する,あ,
資源,安全ピン,紙に包んで中身を明記する,あ,
資源,アンテナ（室内用、室外用、BS用とも）,,あ,
資源,衣装ケース,,い,
資源,紙製,,い,
資源,椅子,座るところは金属でなくても可,い,
資源,一輪車（スポーツ用）,「資源品」と表示する,い,
資源,一輪車（作業用；通称ねこ車）,「資源品」と表示する,い,
資源,一斗缶（18リットル缶）,,い,
資源,糸のこぎり,危なくないように刃先を紙でくるむ,い,
資源,井戸用ポンプ,自己施工のみ,い,
資源,鋳物鍋,,い,
資源,ウインドブレーカー,,う,
資源,植木ばさみ（柄つき）,,う,
資源,ウォーキングマシン,3メートル、30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040,う,
資源,ウッド（ゴルフクラブ）,,う,
資源,乳母車,,う,
資源,エアロバイク,,え,
資源,枝切りはさみ,危なくないように刃先をくるむ,え,
資源,絵の具チューブ,中身を使い切る,え,
資源,エプロン,,え,
資源,オイルヒーター,オイルは抜けないのでそのままで可,お,
資源,オーブン（電気、ガスとも）,,お,
資源,オーブントースター,,お,
資源,オーブンレンジ,,お,
資源,桶,,お,
資源,おたま,柄が金属でなくても可,お,
資源,帯,,お,
資源,おまる,中は水洗いする,お,
資源,おもちゃ,,お,
資源,折込広告,,お,
資源,折りたたみ椅子（金属製）,,お,
資源,おろしがね,,お,
資源,温水器,,お,
資源,カーテン,,か,
資源,カーテンレール,,か,
資源,懐中電灯,電池は抜いて「有害ごみ」で出す,か,
資源,カイロ,,か,
資源,鍵,,か,
資源,家具,,か,
資源,傘,,か,
資源,菓子箱（紙製）,ビニールコーティングされているものは「可燃ごみ」,か,
資源,ガスオーブン,,か,
資源,ガスコンロ,,か,
資源,ガス炊飯器,,か,
資源,ガスストーブ,,か,
資源,ガステーブル,,か,
資源,ガスボンベ,使い切り穴を開ける,か,
資源,ガスレンジ,,か,
資源,ガスレンジカバー,ガスレンジの周りを覆うもので汚れていても可,か,
資源,カセットコンロ,ボンベ缶は外し穴を開けて「資源品（空きカン類）」,か,
資源,片手鍋,,か,
資源,カタログ,ビニールコーティングされているものは「可燃ごみ」,か,
資源,カッターナイフ,,か,
資源,カッターナイフの刃,紙に包んで中味を明記する,か,
資源,金あみ,長さ3メートル以下にたたむ,か,
資源,かなづち,,か,
資源,画鋲,紙に包んで中身を明記する,か,
資源,花瓶,,か,
資源,鎌,危なくないよう刃先をくるむ,か,
資源,紙,,か,
資源,剃刀,危なくないよう刃先をくるむ,か,
資源,剃刀の刃,紙に包んで中身を明記する,か,
資源,紙筒,手でつぶせるもの,か,
資源,紙パック,開いて洗って乾かす/雨天時は出さない,か,
資源,ビニールコーティングされていないもの,プラスチックの柄は「不燃ごみ」/ざつ紙回収用の袋として使用可,か,
資源,画用紙,使用済みのものは「可燃ごみ」,か,
資源,ガラス戸,,か,
資源,カレンダー,コーティング紙は「可燃ごみ」,か,
資源,カレンダー,プラスチック製は「不燃ごみ」,か,
資源,革衣類（衣服・手袋・帽子）,,か,
資源,革手袋,,か,
資源,カン,軽くすすぐ,か,
資源,カン,使い切り穴を開ける,か,
資源,カン,ペンキは出し切る/少量の付着は可,か,
資源,カン,,か,
資源,缶切り,,か,
資源,キーホルダー,,き,
資源,着物,,き,
資源,脚立,,き,
資源,キャリア,車のルーフなどに装着するもの,き,
資源,キャンプ用品,,き,
資源,急須,,き,
資源,給湯器,自己施工のみ/30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040,き,
資源,牛乳パック,開いて洗って乾かす/雨天時は出さない,き,
資源,錐（きり）,危なくないように先を紙でくるむ,き,
資源,金庫,,き,
資源,金属バット,,き,
資源,空気入れ,,く,
資源,釘,紙に包んで中身を明記する,く,
資源,釘抜き,,く,
資源,草刈り鎌,危なくないように刃先を紙でくるむ,く,
資源,草刈り機,燃料は抜くか使い切る,く,
資源,くさり,,く,
資源,串,危なくないよう刃先をくるむ,く,
資源,薬のビン,,く,
資源,果物ナイフ,危なくないように刃先を紙でくるむ,く,
資源,靴下,,く,
資源,熊手,,く,
資源,クリップ,紙に包んで中身を明記する,く,
資源,車椅子,「資源品」と表示する,く,
資源,鍬,危なくないように刃先を紙でくるむ,く,
資源,毛糸の衣類（セーター、マフラー）,,け,
資源,ケージ（金属製）,,け,
資源,毛皮の衣類（コート、マフラー、帽子、手袋）,,け,
資源,健康器具（ウォーキングマシン）,,け,
資源,剣山,危なくないように紙でくるむ,け,
資源,こいのぼり,長さ3メートル以下にする,こ,
資源,コイン・古銭,,こ,
資源,工具類（ドライバー、スパナ等）,,こ,
資源,広告紙,新聞紙と一緒に束ねてよい,こ,
資源,こし器（金属製）,,こ,
資源,米びつ（レンジ台つきのものを含む）,,こ,
資源,米袋,中の米は出し切る/同じような紙袋でも中身が石灰や肥料なら「可燃ごみ」,こ,
資源,コルク抜き,危なくないように先を紙でくるむ,こ,
