品名,形態・材質,ごみ種別,出し方の注意
アイアン（ゴルフクラブ）,,資源品（金属類）,
アイスピック,,資源品（金属類）（空カン用袋）,危なくないよう刃先を紙でくるむ
アイロン,,不燃ごみ,本体が金属製のものは「資源品（金属類）」
アイロン台,,不燃ごみ,
空き箱,厚紙等,資源品（雑誌・ざつ紙類）,たたんでひもで束ねる
空き箱,段ボール,資源品（段ボール）,たたんでひもで束ねる,
空き箱,木箱,不燃ごみ,1辺1.2メートル以上は「粗大ごみ」,
アコーディオンカーテン,,不燃ごみ,
足踏み健康器具,,資源品（金属類）,ペダル部分以外がほぼ金属製のもの
足踏みミシン,,粗大ごみ,上下に分かれるものは上は「資源品（金属類）」下は「不燃ごみ」
アタッシュケース,アルミ製,資源品（金属類）,本体周りがアルミ等の金属製のもの
その他の材質,不燃ごみ,,
アダプター,,不燃ごみ,
厚紙,,資源品（雑誌・ざつ紙類）,
圧力釜,,資源品（金属類）（空カン用袋）,
圧力鍋,,資源品（金属類）（空カン用袋）,
油（食用油）,,可燃ごみ,固めるか布などに染み込ませる
油絵,,不燃ごみ,
油紙,,可燃ごみ,
油こし容器,,資源品（金属類）（空カン用袋）,
油（食用油）の容器,プラスチックボトル,容器包装プラスチック類,使い切ってあれば可
油（食用油）の容器,PETボトル,容器包装プラスチック類,油の付着によりＰＥＴボトルとして資源化できないため,
油（食用油）の容器,ビン,資源品（空ビン類）,,
油撥ね防止ガード,金属製（アルミ等）,資源品（金属類）,ガスレンジの周りを覆うもので汚れていても可
雨合羽（ビニール製）,,不燃ごみ,
雨戸（1?2枚）,アルミ製,資源品（金属類）,自己施工のもの
雨戸（1?2枚）,木製,不燃ごみ,1.8メートル×0.9メートル程度の大きさで自己施工のもの,
網,ナイロン製,不燃ごみ,1辺1.2メートル未満にたたむ
網,スチール製,資源品（金属類）,,
編み機,,資源品（金属類）,
網戸,アルミ製枠,資源品（金属類）,網つきでも網なしでもよい
網戸,プラスチック製枠・木製枠,不燃ごみ,網つきでも網なしでもよい／1.8メートル×0.9メートルの大きさまで可,
網戸（網部分のみ）,ナイロン製,不燃ごみ,1辺1.2メートル未満にたたむ
網戸（網部分のみ）,スチール製,資源品（金属類）,,
編み針・編み棒,金属製,資源品（金属類）（空カン用袋）,
編み針・編み棒,プラスチック製,不燃ごみ,,
木製,可燃ごみ,,
アルバム,厚くしっかりしたもの,不燃ごみ,
アルバム,薄く簡易なもの,可燃ごみ,写真現像店でもらう紙表紙のもの,
アルミガード,,資源品（金属類）,ガスレンジの周りを覆うもので汚れていても可
アルミサッシ,アルミ枠のみ,資源品（金属類）,自己施工のみ
アルミサッシ,ガラスのみ,不燃ごみ,自己施工のみ,
ガラス付アルミ枠,不燃ごみ,自己施工のみ,
アルミ製品,,資源品（金属類）,
アルミホイール（車部品）,,資源品（金属類）,
アルミホイル,,資源品（金属類）（空カン用袋）,汚れたものは「可燃ごみ」
泡立て器,手で使用するもの,資源品（金属類）（空カン用袋）,
泡立て器,電動のもの,不燃ごみ,,
あんか,,不燃ごみ,
安全剃刀,本体が金属,資源品（金属類）（空カン用袋）,紙に包んで中身を明記する
安全剃刀,本体がプラスチック,不燃ごみ,,
安全ピン,,資源品（金属類）（空カン用袋）,紙に包んで中身を明記する
"アンテナ（室内用、室外用、BS用とも）",資源品（金属類）,,
アンテナケーブル,,不燃ごみ,
アンプ,,不燃ごみ,
いぐさ,,不燃ごみ,畳おもてのようなもの
石,水槽用などの少量の砂利,可燃ごみ,
石,自己施工したもの,収集できないごみ,,
石うす,,収集できないごみ,北部クリーンセンターへ直接搬入可
衣装ケース,金属製,資源品（金属類）,
衣装ケース,プラスチック製,不燃ごみ,,
紙製,資源品（雑誌・ざつ紙類）,,
椅子,脚などが金属製,資源品（金属類）,座るところは金属でなくても可
衣装ケース,木製・プラスチック製,不燃ごみ,,
板,,不燃ごみ,1辺1.2メートル未満にする
板ガラス,,不燃ごみ,ガラス面の対角線をガムテープ等で×に貼る
一輪車（スポーツ用）,,資源品（金属類）,「資源品」と表示する
一輪車（作業用；通称ねこ車）,,資源品（金属類）,「資源品」と表示する
一斗缶（18リットル缶）,,資源品（金属類）,
糸,縫い糸,可燃ごみ,
糸,釣り糸,可燃ごみ,,
糸のこぎり,,資源品（金属類）（空カン用袋）,危なくないように刃先を紙でくるむ
井戸用ポンプ,,資源品（金属類）,自己施工のみ
"犬小屋（プラスチック製、木製とも）",,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」
犬の糞,,可燃ごみ,遮水を施し紙等でくるむ
鋳物鍋,,資源品（金属類）（空カン用袋）,
医療系廃棄物（在宅医療に用いたもの）,収集できないごみ,医療機関での引取りを依頼する,
衣類カバー,不燃ごみ,スーツ等の購入時に被せられているもの,
衣類乾燥機,,収集できないごみ,家電リサイクル法に基づいて処理→処理方法を調べる
入れ歯,,不燃ごみ,
印鑑,,可燃ごみ,
インクカートリッジ,,不燃ごみ,できるだけ電器店の回収箱へ
インクリボン（プリンタ用）,,不燃ごみ,できるだけ電器店の回収箱へ
インターホン,,不燃ごみ,
ウィッグ,付け毛,可燃ごみ,
美容師の練習用マネキン,不燃ごみ,多量排出の場合は事前連絡,
ウインドサーフィン用ボード,,粗大ごみ,ロングボードも同様
ウインドブレーカー,,資源品（古着・古布類）,
植木,太さ5cメートル以内,不燃ごみ,
植木,太さ5cメートルを超える,収集できないごみ,,
植木ばさみ（柄つき）,,資源品（金属類）,
植木鉢,,不燃ごみ,
ウエストポーチ,,不燃ごみ,
ウエットスーツ,,不燃ごみ,
ウエットティッシュ,,可燃ごみ,
ウォーキングマシン,,資源品（金属類）,"3メートル、30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040"
ウォーターベッド,,粗大ごみ,ゴムチューブ内は水抜きする
浮き輪,,不燃ごみ,
うす,,粗大ごみ,
うちわ,,可燃ごみ,紙部分が多いため
ウッド（ゴルフクラブ）,,資源品（金属類）,
ウッドカーペット,,不燃ごみ,まるめず1.2メートル未満に折りたたむ
腕時計,,不燃ごみ,
乳母車,金属製フレーム,資源品（金属類）,
乳母車,プラスチック製フレーム,不燃ごみ,,
梅酒ビン,,不燃ごみ,自家製の梅酒を作るための広口ビン
羽毛布団,,粗大ごみ,3枚で1点扱い/直接搬入は枚数制限なし
ウレタン,,不燃ごみ,
ウレタンマット,,不燃ごみ,カバーはあってもなくてもよい
運動靴,,不燃ごみ,
エアコン,,収集できないごみ,家電リサイクル法に基づいて処理→処理方法を調べる
エアロバイク,,資源品（金属類）,
映写機,,不燃ごみ,
ＡＶ機器,,不燃ごみ,
液晶テレビ,,収集できないごみ,家電リサイクル法に基づいて処理→処理方法を調べる
枝切りはさみ,,資源品（金属類）（空カン用袋）,危なくないように刃先をくるむ
絵の具チューブ,金属製,資源品（金属類）（空カン用袋）,中身を使い切る
絵の具チューブ,プラスチック製,容器包装プラスチック類,中身を使い切る,
エプロン,,資源品（古着・古布類）,
メートルＯ,,不燃ごみ,
メートルＤ,,不燃ごみ,
メートルＤプレーヤー,,不燃ごみ,
ＬＤ,,不燃ごみ,
ＬＤプレーヤー,,不燃ごみ,
エレキギター,,不燃ごみ,
エレクトーン,,粗大ごみ,
エンジンオイル,液状,収集できないごみ,購入店等へ引取りを依頼
エンジンオイル,固形にしたもの,可燃ごみ,,
延長コード,,不燃ごみ,
鉛筆,,可燃ごみ,
鉛筆削り器,,不燃ごみ,電動でも手動でも小型でもすべて
オアシス（吸水フォーム）,,可燃ごみ,
オイルヒーター,,資源品（金属類）,オイルは抜けないのでそのままで可
"大型木材（板、棒等）",,収集できないごみ,
"オーディオ機器（プレーヤー、スピーカー等）",不燃ごみ,,
オートバイ,,収集できないごみ,資源有効利用促進法に基づいて処理/二輪車リサイクルコールセンター電話番号03-3589-8075→処理方法を調べる
"オーブン（電気、ガスとも）",,資源品（金属類）,
オーブントースター,,資源品（金属類）,
オーブンレンジ,,資源品（金属類）,
桶,"木製、プラスチック製",不燃ごみ,
桶,金属製,資源品（金属類）,,
おたま,金属製,資源品（金属類）（空き缶用袋）,柄が金属でなくても可
おたま,プラスチック製,不燃ごみ,,
落ち葉,,不燃ごみ,
汚泥,側溝清掃で出たもの,収集できないごみ,道路管理課に依頼する電話番号04-7167-1299
帯,,資源品（古着・古布類）,
おひつ,,不燃ごみ,
オペラグラス,,不燃ごみ,
おまる,"陶器製、プラスチック製",不燃ごみ,中は水洗いする
おまる,ホウロウ製,資源品（金属類）,中は水洗いする,
おむつ,,可燃ごみ,汚物は取り除く
おもちゃ,"木製、プラスチック製",不燃ごみ,
おもちゃ,金属製,資源品（金属類）,,
折込広告,,資源品（新聞紙）,
折りたたみ椅子（金属製）,,資源品（金属類）,
オルガン,,粗大ごみ,
おろしがね,金属製,資源品（金属類）（空カン用袋）,
おろしがね,"セラミック製、プラスチック製",不燃ごみ,,
温水器,,資源品（金属類）,
温度計,,不燃ごみ,赤い液体は油のため処理に影響なし
品名,形態・材質,ごみ種別,出し方の注意
ガーゼ,,可燃ごみ,
カーテン,,資源品（古着・古布類）,
カーテンレール,金属製,資源品（金属類）,
カーテンレール,プラスチック製,不燃ごみ,長さ1.2メートル未満に折るか切る,
カード,"定期券、テレホンカード類",可燃ごみ,
カード,キャッシュカード類,不燃ごみ,磁気部分にはさみを入れる,
カーナビ,,不燃ごみ,
カーペット（電気カーペットを含む）,,不燃ごみ,長さ1.2メートル未満にたたむ
カーボン紙,,可燃ごみ,
カーボンヒーター,,不燃ごみ,
貝殻,,可燃ごみ,
懐中電灯,金属製,資源品（金属類）（空カン用袋）,電池は抜いて「有害ごみ」で出す
懐中電灯,プラスチック製,不燃ごみ,電池は抜いて「有害ごみ」で出す,
掻巻（かいまき）,,粗大ごみ,布団として扱うため
カイロ,金属製,資源品（金属類）（空カン用袋）,
カイロ,使い捨て,可燃ごみ,,
鏡,,不燃ごみ,大きいものは鏡面の対角線をガムテープ等で×に貼る
鍵,,資源品（金属類）（空カン用袋）,
家具,スチール製,資源品（金属類）,
家具,木製（1辺1.2メートル未満）,不燃ごみ,,
家具,木製（1辺1.2メートル以上）,粗大ごみ,,
角材,,不燃ごみ,長さ1メートル未満なら太さ10センチメートル程度のものまで出せる
学習机,,粗大ごみ,椅子とセットで1点扱い／スチール製なら「資源品（金属類）」
学習机のたな,木製,不燃ごみ,1辺1.2メートル未満のもの
家具調こたつ,,粗大ごみ,1辺1.2メートル未満なら「不燃ごみ」
額縁,,不燃ごみ,木製でガラスがなく指定ごみ袋に入る大きさなら「可燃ごみ」
掛け軸,,不燃ごみ,紙だけなら「可燃ごみ」
傘,,不燃ごみ,骨だけであれば「資源品（金属類）」
傘,布部分,可燃ごみ,
傘,ビニール部分,不燃ごみ,,
傘,骨のみ,資源品（金属類）,,
加湿器,,不燃ごみ,フィルターも「不燃ごみ」
果実酒ビン,,不燃ごみ,
菓子箱（紙製）,,資源品（雑誌・ざつ紙類）,ビニールコーティングされているものは「可燃ごみ」
菓子袋,プラスチック製,容器包装プラスチック類,
菓子袋,アルミコーティング,容器包装プラスチック類,中が銀色のもの,
ビニールコーティング,可燃ごみ,,
ガスオーブン,,資源品（金属類）,
ガスコテ,,有害ごみ,ガスを動力とした髪用のコテ
ガスコンロ,,資源品（金属類）,
ガス炊飯器,,資源品（金属類）,
ガスストーブ,,資源品（金属類）,
ガステーブル,,資源品（金属類）,
ガスボンベ,カセットコンロ用,資源品（空きカン類）,使い切り穴を開ける
ガスボンベ,プロパンガス用,収集できないごみ,設置したガス会社へ引取りを依頼,
ガスレンジ,,資源品（金属類）,
ガスレンジカバー,,資源品（金属類）,ガスレンジの周りを覆うもので汚れていても可
カセットコンロ,,資源品（金属類）,ボンベ缶は外し穴を開けて「資源品（空きカン類）」
カセットテープ,,可燃ごみ,紐で束ねても排出可/ケースに入れたままで可／ケースのみは「不燃ごみ」
カセットデッキ,,不燃ごみ,
片手鍋,,資源品（金属類）（空カン用袋）,
カタログ,,資源品（雑誌・ざつ紙類）,ビニールコーティングされているものは「可燃ごみ」
カッターナイフ,本体が金属製,資源品（金属類）（空カン用袋）,
カッターナイフ,本体がプラスチック製,不燃ごみ,,
カッターナイフの刃,,資源品（金属類）（空カン用袋）,紙に包んで中味を明記する
合羽（ビニール製）,,不燃ごみ,
カップ麺のふた（紙製）,,可燃ごみ,
カップ麺の容器,発泡スチロール製,容器包装プラスチック類,軽くすすぐ
カップ麺の容器,紙製,可燃ごみ,,
かつら,,可燃ごみ,化繊でも人毛でも
門松,,不燃ごみ,1辺1.2メートル未満のもの
金あみ,,資源品（金属類）,長さ3メートル以下にたたむ
かなづち,,資源品（金属類）（空カン用袋）,
カバー（ナイロンシート状のもの）,,不燃ごみ,
鞄,,不燃ごみ,
画鋲,,資源品（金属類）（空カン用袋）,紙に包んで中身を明記する
花瓶,"陶器製、ガラス製",不燃ごみ,
花瓶,金属製,資源品（金属類）（空カン用袋）,,
壁紙（ビニールクロス）,,不燃ごみ,自己施工のみ/レジ袋で5袋程度までは排出可/それ以上は北部クリーンセンターに直接搬入
鎌,,資源品（金属類）（空カン用袋）,危なくないよう刃先をくるむ
紙,"メモ用紙、レシート",資源品（雑誌・ざつ紙類）,
紙,"感熱紙、ビニールコーティング",可燃ごみ,,
紙,"金紙、銀紙",可燃ごみ,,
紙おむつ,,可燃ごみ,汚物は取り除く
紙コップ,,可燃ごみ,
紙皿,,可燃ごみ,
剃刀,柄が金属製,資源品（金属類）（空カン用袋）,危なくないよう刃先をくるむ
剃刀,柄がプラスチック製,不燃ごみ,,
剃刀,電動のもの,不燃ごみ,,
剃刀の刃,,資源品（金属類）（空カン用袋）,紙に包んで中身を明記する
紙筒,トイレットペーパーの芯など,資源品（雑誌・ざつ紙類）,手でつぶせるもの
紙筒,ラップの芯など,可燃ごみ,硬くてつぶせないもの,
紙筒,壁紙の芯など,不燃ごみ,指定袋に入らないもの,
紙粘土,,可燃ごみ,
髪の毛,,可燃ごみ,
紙パック,牛乳パック,資源品（紙パック類）,開いて洗って乾かす/雨天時は出さない
紙パック,中が銀色のもの,可燃ごみ,,
紙パック,紙袋,ビニールコーティングされてるもの,可燃ごみ,プラスチックの柄は取って「不燃ごみ」
ビニールコーティングされていないもの,資源品（雑誌・ざつ紙類）,プラスチックの柄は「不燃ごみ」/ざつ紙回収用の袋として使用可,
ガムテープ,,可燃ごみ,
かめのこたわし,,不燃ごみ,
カメラ,,不燃ごみ,
カメラネガフィルム,,不燃ごみ,
カメラフィルム（現像前・現像後とも）,不燃ごみ,,
蚊帳,,不燃ごみ,1辺1.2メートル未満にたたむ
画用紙,,資源品（雑誌・ざつ紙類）,使用済みのものは「可燃ごみ」
カラーボックス,,不燃ごみ,できるだけ分解する
カラスネット,,不燃ごみ,
"ガラス（板ガラス、ガラス製品）",,不燃ごみ,ガラス面の対角線をガムテープ等で×に貼る
ガラス製品,,不燃ごみ,
ガラステーブル,,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」
ガラス戸,ガラス付,不燃ごみ,
ガラス戸,アルミ枠のみ,資源品（金属類）,,
ガラス戸,木枠のみ,不燃ごみ,,
カレー（インスタントカレー）のレトルトパック,容器包装プラスチック類,中身が付着している場合は「可燃ごみ」,
枯れ葉,,不燃ごみ,
カレンダー,未使用のもの,資源品（雑誌・ざつ紙類）,コーティング紙は「可燃ごみ」
カレンダー,金属製の綴じ具,資源品（金属類）（空カン用袋）,プラスチック製は「不燃ごみ」,
革衣類（衣服・手袋・帽子）,,資源品（古着・古布類）,
革靴,,不燃ごみ,
革製品（衣服・手袋・帽子以外）,,不燃ごみ,
革手袋,,資源品（古着・古布類）,
瓦（自己施工したもの）,,収集できないごみ,
カン,"飲み物、缶詰のカン",資源品（空カン類）,軽くすすぐ
カン,"ボンベ缶、スプレー缶",資源品（空カン類）,使い切り穴を開ける,
カン,ペンキの缶,資源品（空カン類）,ペンキは出し切る/少量の付着は可,
カン,さびた缶,資源品（空カン類）,,
換気扇,,不燃ごみ,
換気扇フィルター,,不燃ごみ,油がついて汚れていても可
缶切り,,資源品（金属類）（空カン用袋）,
かんしょう材,,容器包装プラスチック類,紙製のものは「可燃ごみ」
乾燥機,衣類乾燥機,収集できないごみ,家電リサイクル法に基づいて処理→処理方法を調べる
乾燥機,布団乾燥機,不燃ごみ,,
乾燥機,食器乾燥機,不燃ごみ,,
乾燥剤,,可燃ごみ,
乾電池,,有害ごみ,乾電池だけを透明な袋に入れて出す
感熱紙,,可燃ごみ,
キーボード（楽器）,,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」
キーボード（パソコンの付属品）,,不燃ごみ,
キーホルダー,金属製,資源品（金属類）（空カン用袋）,
キーホルダー,その他,不燃ごみ,,
着せ替え人形,,不燃ごみ,
着せ替え人形の服,,可燃ごみ,
ギター,,不燃ごみ,
木づち,,不燃ごみ,
キッチンタオル,,可燃ごみ,
キッチンペーパー,,可燃ごみ,
キッチンマット,,不燃ごみ,
木の枝,太さ5cメートル以内,不燃ごみ,
木の枝,太さ5cメートルを超える,収集できないごみ,,
木箱,,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」
木べら,,可燃ごみ,
着物,,資源品（古着・古布類）,
脚立,金属製,資源品（金属類）,
脚立,木製,不燃ごみ,長さ1.2メートル未満にする,
キャッシュカード,,不燃ごみ,磁気部分にはさみを入れる
キャリア,,資源品（金属類）,車のルーフなどに装着するもの
キャンバス（油絵）,,不燃ごみ,
キャンプ用品,タープ,不燃ごみ,テントや車などの横に張る日除け
キャンプ用品,テーブル（椅子との一体型を含む）,不燃ごみ,天板がプラ製・木製のものは「不燃ごみ」/天板を含むすべてがアルミ製なら「資源品（金属類）」,
キャンプ用品,テント,不燃ごみ,金属製のパイプ部分は「資源品（金属類）」,
キャンプ用品,寝袋,不燃ごみ,,
キャンプ用品,バーベキューグリル,資源品（金属類）,,
キャンプ用品,ランタン,不燃ごみ,燃料は抜くか使い切る,
急須,金属製,資源品（金属類）（空カン用袋）,
急須,陶器製,不燃ごみ,,
給湯器,,資源品（金属類）,自己施工のみ/30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040
牛乳パック,,資源品（紙パック類）,開いて洗って乾かす/雨天時は出さない
鏡台（鏡部が分離するもの）,,不燃ごみ,分離しなければ「粗大ごみ」
錐（きり）,,資源品（金属類）（空カン用袋）,危なくないように先を紙でくるむ
キルティングマット,,不燃ごみ,
木枠,,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」
金紙・銀紙,,可燃ごみ,
金魚鉢,,不燃ごみ,
金庫,手提げ金庫など,資源品（金属類）,
金庫,耐火金庫,収集できないごみ,廃棄物処理業者に依頼する（有料）,
金属バット,,資源品（金属類）（空カン用袋）,
